iteration,rotation_mean_deg,rotation_p95_deg,position_mean,position_p95,log_scale_mean_abs,opacity_logit_mean_abs,albedo_logit_mean_abs
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.1840435,1.5811153650283813,0.0077882656,0.011404393473640084,0.071796335,0.34384078,0.006020693
25,2.9909458,4.15112566947937,0.014879867,0.026007350999861956,0.16638325,0.8070514,0.014460819
50,5.704155,8.746005773544312,0.02013311,0.03848006948828697,0.24655756,1.243941,0.027302222
100,9.148923,17.69176435470581,0.0250968,0.05040578916668892,0.27929825,1.5225222,0.04486824
200,12.897236,28.53754711151123,0.033778936,0.07601096481084824,0.29938897,1.8258365,0.06757687
300,15.757507,39.75120449066162,0.0410515,0.10370682738721371,0.3108338,2.0032363,0.08705852
400,17.854492,48.97945785522461,0.04690839,0.12585869058966637,0.3285545,2.1619015,0.10574627
500,19.620909,55.92041778564453,0.051853627,0.1386757604777813,0.3409064,2.2746916,0.12143759
