iteration,mean_deg,median_deg,p95_deg
1,23.23774930636088,4.574643131097158,90.00105997721354
10,26.36956435839335,4.630712827046712,89.54300568898519
25,34.53757036526998,6.336088399092357,90.92347990671793
50,36.66765505472819,9.154371937115988,91.77342281341552
100,38.459967311223345,16.185260343551636,89.44403928120931
200,46.047547276814775,39.56892073949178,85.3001158396403
300,50.945914554595944,54.472519652048746,81.11823507944743
400,51.663201332092285,56.951691468556724,78.42084967295328
500,50.254540570576985,55.742312622070315,75.27554200490316
