iteration,free_psnr,fixed_psnr,free_normal_mean_deg,fixed_normal_mean_deg
1,14.6806058883667,14.6806058883667,23.23774930636088,23.23774930636088
10,15.563815116882324,14.696052551269531,26.36956435839335,23.23774930636088
25,16.42022705078125,14.72227668762207,34.53757036526998,23.23774930636088
50,16.822097778320312,14.767536163330078,36.66765505472819,23.23774930636088
100,17.70215606689453,14.855891227722168,38.459967311223345,23.23774930636088
200,19.147991180419922,15.032461166381836,46.047547276814775,23.23774930636088
300,20.04186248779297,15.207858085632324,50.945914554595944,23.23774930636088
400,20.268461227416992,15.380197525024414,51.663201332092285,23.23774930636088
500,19.779296875,15.587543487548828,50.254540570576985,23.23774930636088
